"","c = 0.05","c = 0.075","c = 0.1","c = 0.15","c = 0.2","c = 0.25","c = 0.3","c = 0.35","c = 0.4","c = 0.45","c = 0.5"
"m = 0.01",1.11915415976344,1.11767766799051,1.05860492557989,1.0201610930878,1.03937653944421,1.01520929091604,1.00322402850006,1.00943363702642,0.994051006659945,1.01011411204127,1.00448363343434
"m = 0.03",1.32199866476768,1.22740246160138,1.14259612273324,1.06291079756451,1.05360026824547,1.02568783757882,1.01939825863122,1.03169989864739,1.00261333236845,1.00100133157932,1.01602799020713
"m = 0.05",1.41586895471125,1.30212606572773,1.23682677544425,1.10134659058276,1.09354336369451,1.05922820741309,1.05001394160055,1.02697750070545,1.04347959030882,1.03005964822465,1.01720297089543
"m = 0.1",1.47553397651392,1.38992122654292,1.2873700915592,1.20368425097033,1.16356593300859,1.10242277409095,1.09331658559315,1.05319215606877,1.04675087397498,1.01611770420383,1.02632021841808
"m = 0.15",1.61630523599158,1.47890031497313,1.37306816439077,1.27820392443448,1.18266886929043,1.12372074914413,1.10606373853973,1.06926053904621,1.04542696921171,1.04711799702517,1.01925768213642
"m = 0.2",1.63613188427609,1.51253759799557,1.43144926857547,1.28326685046774,1.20259220390624,1.14783681199155,1.12270578416217,1.08572224281819,1.05780672302195,1.03799879594019,1.05015874776482
"m = 0.25",1.67815417729846,1.54211504133771,1.46098884422983,1.30357929626951,1.25045739783846,1.16491605563793,1.135660636614,1.10359917282624,1.08434425396736,1.04716625786003,1.06216143813887
"m = 0.3",1.66422848078906,1.54915119632753,1.43457709373929,1.32960295701436,1.25823165883336,1.17783461813151,1.13538533189927,1.09632186188011,1.06558379511322,1.05843377312777,1.05254809135574
"m = 0.4",1.69077259907614,1.53963316453491,1.46613320696789,1.34641067472496,1.27474190408383,1.18933139974989,1.14562148241923,1.10129874737821,1.08100153589949,1.08195663552789,1.04284074180413
"m = 0.5",1.66282677067608,1.60356310868802,1.47129375814374,1.36688859081648,1.2894734980562,1.19994170059401,1.16055959693476,1.11264862594945,1.08757383426037,1.07873190221627,1.05803031581983
